(262300867, 6104058032, 0)
(262300867, 7652255680, 0)
(262300916, 262300919, 0)
(262300916, 9963890560, 0)
(262300919, 10159800861, 0)
(262300919, 6958021010, 0)
(319272144, 6589422790, 0)
(319272144, 6251862968, 0)
(319272144, 6251862917, 0)
(319272144, 6589384517, 0)
(319272145, 6589384583, 0)
(319272145, 11173447740, 0)
(319272145, 5673297462, 0)
(319272148, 6589265812, 0)
(319272148, 4384823269, 0)
(319272149, 1925337722, 0)
(319272149, 3448794055, 0)
(319272149, 8998992322, 0)
(319272151, 8998838109, 0)
(319272151, 3313546130, 0)
(319272170, 7826556932, 0)
(319272170, 6958043423, 0)
(319272171, 6958086808, 0)
(319272171, 10139462179, 0)
(319272173, 6958086850, 0)
(319272173, 10139464119, 0)
(319272173, 319272171, 0)
(319272621, 5607924784, 0)
(319272621, 7826604884, 0)
(319272621, 3474691840, 0)
(319272630, 5607924787, 0)
(319272630, 5607879471, 0)
(319272630, 5607924784, 0)
(319275636, 2838983717, 0)
(319275636, 6751015951, 0)
(1848934563, 4603678608, 0)
(1848934563, 1848934582, 0)
(1848934563, 7705679704, 0)
(1848934582, 1848934563, 0)
(1848934582, 4603670922, 0)
(1848934582, 7705660883, 0)
(1848934849, 7773729397, 0)
(1848934989, 1848934994, 0)
(1848934989, 3691962989, 0)
(1848934994, 319275636, 0)
(1848934994, 1848935005, 0)
(1848935004, 1848935005, 0)
(1848935004, 1848935071, 0)
(1848935004, 3691962993, 0)
(1848935005, 1848935004, 0)
(1848935005, 1848934994, 0)
(1848935005, 6751015951, 0)
(1848935029, 3691962993, 0)
(1848935029, 1848935143, 0)
(1848935029, 1848935071, 0)
(1848935062, 1848935069, 0)
(1848935069, 1848935062, 0)
(1848935069, 4603697847, 0)
(1848935069, 4603697857, 0)
(1848935071, 1848935143, 0)
(1848935071, 1848935004, 0)
(1848935071, 1848935029, 0)
(1848935143, 1848935029, 0)
(1848935143, 1848935170, 0)
(1848935143, 1848935071, 0)
(1848935170, 1848935143, 0)
(1848935170, 1848935397, 0)
(1848935170, 1848935368, 0)
(1848935343, 1848935368, 0)
(1848935368, 1848935170, 0)
(1848935368, 1848935343, 0)
(1848935368, 1848935397, 0)
(1848935397, 1848935170, 0)
(1848935397, 1848935517, 0)
(1848935397, 1848935368, 0)
(1848935482, 1848935517, 0)
(1848935517, 1848935397, 0)
(1848935517, 1848935535, 0)
(1848935517, 1848935482, 0)
(1848935535, 1848935517, 0)
(1848935535, 1848935609, 0)
(1848935535, 7770333812, 0)
(1848935535, 7770333850, 0)
(1848935609, 1848935535, 0)
(1848935609, 4226296425, 0)
(1848935609, 7770332446, 0)
(1848935743, 1848936138, 0)
(1848935774, 4603728608, 0)
(1848935774, 1932280672, 0)
(1848935774, 1848936138, 0)
(1848936138, 1848936182, 0)
(1848936138, 1848935743, 0)
(1848936138, 1848935774, 0)
(1848936182, 1848936138, 0)
(1853240461, 4603644313, 0)
(1853240461, 1853240478, 0)
(1853240461, 10228453172, 0)
(1853240478, 1853240461, 0)
(1853240478, 1853240489, 0)
(1853240478, 10248274416, 0)
(1853240489, 1853240478, 0)
(1853240489, 1853240680, 0)
(1853240489, 10248274416, 0)
(1853240680, 1853240489, 0)
(1853240680, 1853240799, 0)
(1853240680, 10689955633, 0)
(1853240799, 1853240680, 0)
(1853240799, 10697561581, 0)
(1853240799, 10686461460, 0)
(1853241113, 10697561581, 0)
(1853241113, 1853241152, 0)
(1853241113, 10779111275, 0)
(1853241127, 5081436371, 0)
(1853241127, 1853241181, 0)
(1853241127, 5081434869, 0)
(1853241149, 1853241220, 0)
(1853241152, 1853241113, 0)
(1853241152, 1853241242, 0)
(1853241152, 10683671409, 0)
(1853241181, 1853241127, 0)
(1853241181, 1853241237, 0)
(1853241181, 5060386677, 0)
(1853241181, 5081436369, 0)
(1853241203, 5072408567, 0)
(1853241203, 5078636114, 0)
(1853241203, 5078690496, 0)
(1853241214, 3721809205, 0)
(1853241214, 5120316106, 0)
(1853241214, 5072408567, 0)
(1853241220, 5124942045, 0)
(1853241220, 1853241149, 0)
(1853241220, 5066147387, 0)
(1853241220, 5060786586, 0)
(1853241226, 9686769819, 0)
(1853241226, 5124942052, 0)
(1853241226, 5124941806, 0)
(1853241237, 5078400634, 0)
(1853241237, 1853241181, 0)
(1853241237, 9686769819, 0)
(1853241242, 1853241243, 0)
(1853241242, 1853241152, 0)
(1853241242, 7773729280, 0)
(1853241243, 1853241242, 0)
(1853241243, 10683617157, 0)
(1853241243, 1853241471, 0)
(1853241252, 5078690873, 0)
(1853241252, 5120316458, 0)
(1853241252, 5078756204, 0)
(1853241374, 9824990727, 0)
(1853241374, 6467079588, 0)
(1853241374, 9796361496, 0)
(1853241439, 2655711032, 0)
(1853241439, 5079224754, 0)
(1853241439, 5113235387, 0)
(1853241462, 1853241465, 0)
(1853241462, 7826582494, 0)
(1853241462, 9796361496, 0)
(1853241465, 1853241462, 0)
(1853241465, 9641324125, 0)
(1853241465, 1853241474, 0)
(1853241471, 9482872050, 0)
(1853241471, 5650016621, 0)
(1853241471, 1853241243, 0)
(1853241474, 6495485687, 0)
(1853241474, 6651050374, 0)
(1853241474, 1853241465, 0)
(1853241474, 1853241498, 0)
(1853241498, 1853241499, 0)
(1853241498, 6651050363, 0)
(1853241498, 1853241474, 0)
(1853241499, 1853241498, 0)
(1853241499, 10258936386, 0)
(1853241499, 9293062683, 0)
(1853241501, 9824990729, 0)
(1853241501, 9824990727, 0)
(1853241501, 5580015550, 0)
(1853241511, 7054328941, 0)
(1853241511, 2655710979, 0)
(1853241511, 2655711028, 0)
(1853241529, 6281728661, 0)
(1853241529, 2655711028, 0)
(1853241529, 5079224754, 0)
(1853241530, 9979698530, 0)
(1853241530, 9979697092, 0)
(1853241530, 7054328941, 0)
(1853241591, 1853241606, 0)
(1853241591, 5079225096, 0)
(1853241591, 7795216657, 0)
(1853241606, 1853241609, 0)
(1853241606, 1853241591, 0)
(1853241606, 7795216613, 0)
(1853241609, 1853241606, 0)
(1853241609, 7795191142, 0)
(1853241945, 9957063996, 0)
(1853241945, 7490104539, 0)
(1853241945, 7490104618, 0)
(1853242049, 7359997591, 0)
(1853242200, 1853242293, 0)
(1853242200, 9979698530, 0)
(1853242200, 10006684686, 0)
(1853242265, 2501639621, 0)
(1853242293, 1853242605, 0)
(1853242293, 1853242200, 0)
(1853242293, 5079225437, 0)
(1853242432, 7705680723, 0)
(1853242432, 7490104539, 0)
(1853242432, 7705680680, 0)
(1853242603, 1853242613, 0)
(1853242603, 2839019602, 0)
(1853242603, 6966861825, 0)
(1853242605, 1853242293, 0)
(1853242605, 1853242672, 0)
(1853242605, 7359981426, 0)
(1853242613, 6966861823, 0)
(1853242613, 1853242603, 0)
(1853242613, 5956793718, 0)
(1853242626, 2839019604, 0)
(1853242626, 7705680641, 0)
(1853242626, 6966891669, 0)
(1853242672, 1853242605, 0)
(1853242672, 1853242742, 0)
(1853242672, 5954607175, 0)
(1853242742, 1853242672, 0)
(1853242742, 7773720936, 0)
(1853242742, 7858128566, 0)
(1853243124, 9687211752, 0)
(1853243124, 2839019615, 0)
(1853243124, 7705680793, 0)
(1853243234, 1853243251, 0)
(1853243234, 9687211752, 0)
(1853243234, 7705680616, 0)
(1853243251, 2839019624, 0)
(1853243251, 1853243234, 0)
(1853243251, 1853243291, 0)
(1853243291, 1853243251, 0)
(1853243291, 7705680671, 0)
(1853243291, 7705680784, 0)
(1853243359, 6966906392, 0)
(1853243359, 5956695588, 0)
(1853243359, 5956698589, 0)
(1853243424, 1853243535, 0)
(1853243424, 5956695588, 0)
(1853243424, 1853243543, 0)
(1853243441, 10749776342, 0)
(1853243441, 10749776340, 0)
(1853243441, 6966792077, 0)
(1853243465, 1853243495, 0)
(1853243465, 10749776342, 0)
(1853243465, 6958224448, 0)
(1853243495, 1853243517, 0)
(1853243495, 1853243465, 0)
(1853243495, 6966792074, 0)
(1853243497, 1853243535, 0)
(1853243497, 1853243553, 0)
(1853243497, 7773720953, 0)
(1853243502, 1853243513, 0)
